accession	plasmid_name	organism	source	length_bp	topology	local_fasta	notes
MH995507.1	MH995507.1_pM17277_NDM	not recorded in local FASTA header	GenBank	138998	circular	data/plasmid_references/references_34/MH995507.1_pM17277_NDM.fasta	Previously available local GenBank reference; accession inferred from filename where possible.
MN082782.1	MN082782.1_pPA2047	not recorded in local FASTA header	GenBank	43660	circular	data/plasmid_references/references_34/MN082782.1_pPA2047.fasta	Previously available local GenBank reference; accession inferred from filename where possible.
NA	PAD003_KPC_2	not recorded in local FASTA header	This study	21651	circular	data/plasmid_references/references_34/PAD003_KPC_2.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
NA	PAD003_NDM_5	not recorded in local FASTA header	This study	130638	circular	data/plasmid_references/references_34/PAD003_NDM_5.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
PQ241462.1	pEco265-NDM5	Escherichia coli	GenBank	104782	circular	data/plasmid_references/references_34/PQ241462.1.fasta	NCBI header says pEco265-NDM5; manuscript/review text mentions pEco256-NDM5, so this discrepancy must be checked and not silently renamed.
PQ241463.1	pM144-NDM5	Klebsiella pneumoniae subsp. pneumoniae	GenBank	97651	circular	data/plasmid_references/references_34/PQ241463.1.fasta	Added missing GenBank reference for manuscript 34-reference framework.
PQ247031.1	pM40-NDM5	Klebsiella pneumoniae subsp. pneumoniae	GenBank	258482	circular	data/plasmid_references/references_34/PQ247031.1.fasta	Added missing GenBank reference for manuscript 34-reference framework.
PQ247032.1	pM366-NDM5	Klebsiella pneumoniae subsp. pneumoniae	GenBank	252810	circular	data/plasmid_references/references_34/PQ247032.1.fasta	Added missing GenBank reference for manuscript 34-reference framework.
NA	ROS002_KPC_2	not recorded in local FASTA header	This study	77141	circular	data/plasmid_references/references_34/ROS002_KPC_2.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
NA	VLP001_OXA_439	not recorded in local FASTA header	This study	338985	circular	data/plasmid_references/references_34/VLP001_OXA_439.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
NA	ZAC001_KPC_2	not recorded in local FASTA header	This study	148374	circular	data/plasmid_references/references_34/ZAC001_KPC_2.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
NA	ZAG001_KPC_2	not recorded in local FASTA header	This study	232044	circular	data/plasmid_references/references_34/ZAG001_KPC_2.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
NA	ZCA001_NDM_5	not recorded in local FASTA header	This study	255709	circular	data/plasmid_references/references_34/ZCA001_NDM_5.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
NA	ZCA001_OXA_163	not recorded in local FASTA header	This study	134201	circular	data/plasmid_references/references_34/ZCA001_OXA_163.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
NA	ZCU001_KPC_2	not recorded in local FASTA header	This study	76609	circular	data/plasmid_references/references_34/ZCU001_KPC_2.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
NA	ZCU001_OXA_163	not recorded in local FASTA header	This study	131526	circular	data/plasmid_references/references_34/ZCU001_OXA_163.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
NA	ZCV001_KPC_3	not recorded in local FASTA header	This study	167061	circular	data/plasmid_references/references_34/ZCV001_KPC_3.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
NA	ZDA001_NDM_5	not recorded in local FASTA header	This study	456203	circular	data/plasmid_references/references_34/ZDA001_NDM_5.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
NA	ZDA002_KPC_2	not recorded in local FASTA header	This study	73455	circular	data/plasmid_references/references_34/ZDA002_KPC_2.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
NA	ZDZ001_KPC_2	not recorded in local FASTA header	This study	75350	circular	data/plasmid_references/references_34/ZDZ001_KPC_2.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
NA	ZEI002_KPC_2	not recorded in local FASTA header	This study	54777	circular	data/plasmid_references/references_34/ZEI002_KPC_2.fasta	Closed plasmid generated in this study; accession not assigned in local filename.
OL780449.1	pHdC_pae_OL780449.1	not recorded in local FASTA header	GenBank	42750	circular	data/plasmid_references/references_34/pHdC_pae_OL780449.1.fasta	Previously available local GenBank reference; accession inferred from filename where possible.
CP080103.1	pWW14A-KPC2_CP080103.1	not recorded in local FASTA header	GenBank	40407	circular	data/plasmid_references/references_34/pWW14A-KPC2_CP080103.1.fasta	Previously available local GenBank reference; accession inferred from filename where possible.
CP080110.1	pWW19C-KPC2_CP080110.1	not recorded in local FASTA header	GenBank	34721	circular	data/plasmid_references/references_34/pWW19C-KPC2_CP080110.1.fasta	Previously available local GenBank reference; accession inferred from filename where possible.
