file_name	local_fasta	source	record_count	sequence_id	length_bp	validation_status	header	notes
ZCA001_NDM_5.fasta	data/plasmid_references/references_34/ZCA001_NDM_5.fasta	original_30_reference_set	1	2	255709	PASS	>2 length=255709 depth=0.63x circular=true	
ZCA001_OXA_163.fasta	data/plasmid_references/references_34/ZCA001_OXA_163.fasta	original_30_reference_set	1	4	134201	PASS	>4 length=134201 depth=0.32x circular=true	
ZCU001_KPC_2.fasta	data/plasmid_references/references_34/ZCU001_KPC_2.fasta	original_30_reference_set	1	6	76609	PASS	>6 length=76609 depth=0.32x circular=true	
ZCU001_OXA_163.fasta	data/plasmid_references/references_34/ZCU001_OXA_163.fasta	original_30_reference_set	1	4	131526	PASS	>4 length=131526 depth=0.31x circular=true	
ZCV001_KPC_3.fasta	data/plasmid_references/references_34/ZCV001_KPC_3.fasta	original_30_reference_set	1	2	167061	PASS	>2 length=167061 depth=1.60x circular=true	
ZDA001_NDM_5.fasta	data/plasmid_references/references_34/ZDA001_NDM_5.fasta	original_30_reference_set	1	2	456203	PASS	>2 length=456203 depth=1.53x circular=true	
ZDA002_KPC_2.fasta	data/plasmid_references/references_34/ZDA002_KPC_2.fasta	original_30_reference_set	1	4	73455	PASS	>4 length=73455 depth=0.27x circular=true	
ZDZ001_KPC_2.fasta	data/plasmid_references/references_34/ZDZ001_KPC_2.fasta	original_30_reference_set	1	3	75350	PASS	>3 length=75350 depth=1.03x circular=true	
ZEI002_KPC_2.fasta	data/plasmid_references/references_34/ZEI002_KPC_2.fasta	original_30_reference_set	1	3	54777	PASS	>3 length=54777 depth=0.30x circular=true	
pHdC_pae_OL780449.1.fasta	data/plasmid_references/references_34/pHdC_pae_OL780449.1.fasta	original_30_reference_set	1	OL780449.1	42750	PASS	>OL780449.1 Pseudomonas aeruginosa strain HdC plasmid unnamed, complete sequence	
pWW14A-KPC2_CP080103.1.fasta	data/plasmid_references/references_34/pWW14A-KPC2_CP080103.1.fasta	original_30_reference_set	1	CP080103.1	40407	PASS	>CP080103.1 Klebsiella quasipneumoniae strain WW-14A plasmid pWW14A-KPC2, complete sequence	
pWW19C-KPC2_CP080110.1.fasta	data/plasmid_references/references_34/pWW19C-KPC2_CP080110.1.fasta	original_30_reference_set	1	CP080110.1	34721	PASS	>CP080110.1 Enterobacter asburiae strain WW-19C plasmid pWW19C-KPC2, complete sequence	
