Cluster and Representative plasmid	Plasmid ID	Accession	Origin	Replicon type	Carbapenemase	Size (bp)	GC (%)	Replicon type	Carbapenemase	Other Antimicrobial Resistance Genes	Best short-read coverage hits
C03; Representative: pM25992_249; IncFIB(Mar)/IncHI1B	pM25979_249	CP166600.1	GenBank	IncFIB(Mar)/IncHI1B	NDM-5	249264	46.51	IncFIB(Mar)/IncHI1B	NDM-5	ND	ZCC003 (100.0%) - Klebsiella pneumoniae ST273 - NDM-5; ZCG001 (99.9%) - Klebsiella aerogenes ST695 - NDM-5; ZBK001 (99.0%) - Klebsiella pneumoniae ST307 - NDM-5; ZBB003 (98.6%) - Klebsiella pneumoniae ST11 - NDM-5; ZBB001 (94.3%) - Klebsiella pneumoniae ST11 - NDM-5; ZCZ001 (91.2%) - Klebsiella pneumoniae ST258 - KPC-2+NDM-5; ZEU002 (79.3%) - Klebsiella pneumoniae ST392 - KPC-2; ZBF003 (100.0%) - Klebsiella pneumoniae ST5994 - NDM-5
C03; Representative: pM25992_249; IncFIB(Mar)/IncHI1B	pZAG001_232	ND	This study	IncFIB(Mar)/IncHI1B	NDM-5	232044	45.90	IncFIB(Mar)/IncHI1B	KPC-2	ND	ZCC003 (100.0%) - Klebsiella pneumoniae ST273 - NDM-5; ZCG001 (99.9%) - Klebsiella aerogenes ST695 - NDM-5; ZBK001 (99.0%) - Klebsiella pneumoniae ST307 - NDM-5; ZBB003 (98.6%) - Klebsiella pneumoniae ST11 - NDM-5; ZBB001 (94.3%) - Klebsiella pneumoniae ST11 - NDM-5; ZCZ001 (91.2%) - Klebsiella pneumoniae ST258 - KPC-2+NDM-5; ZEU002 (79.3%) - Klebsiella pneumoniae ST392 - KPC-2; ZBF003 (100.0%) - Klebsiella pneumoniae ST5994 - NDM-5
C03; Representative: pM25992_249; IncFIB(Mar)/IncHI1B	pZCA001_256	ND	This study	IncFIB(Mar)/IncHI1B	NDM-5	255709	46.38	IncFIB(Mar)/IncHI1B	NDM-5	ND	ZCC003 (100.0%) - Klebsiella pneumoniae ST273 - NDM-5; ZCG001 (99.9%) - Klebsiella aerogenes ST695 - NDM-5; ZBK001 (99.0%) - Klebsiella pneumoniae ST307 - NDM-5; ZBB003 (98.6%) - Klebsiella pneumoniae ST11 - NDM-5; ZBB001 (94.3%) - Klebsiella pneumoniae ST11 - NDM-5; ZCZ001 (91.2%) - Klebsiella pneumoniae ST258 - KPC-2+NDM-5; ZEU002 (79.3%) - Klebsiella pneumoniae ST392 - KPC-2; ZBF003 (100.0%) - Klebsiella pneumoniae ST5994 - NDM-5
C03; Representative: pM25992_249; IncFIB(Mar)/IncHI1B	pZDA001_456	ND	This study	IncFIB(Mar)/IncHI1B	NDM-5	456203	49.11	IncFIB(Mar)/IncHI1B	NDM-5	ND	ZCC003 (100.0%) - Klebsiella pneumoniae ST273 - NDM-5; ZCG001 (99.9%) - Klebsiella aerogenes ST695 - NDM-5; ZBK001 (99.0%) - Klebsiella pneumoniae ST307 - NDM-5; ZBB003 (98.6%) - Klebsiella pneumoniae ST11 - NDM-5; ZBB001 (94.3%) - Klebsiella pneumoniae ST11 - NDM-5; ZCZ001 (91.2%) - Klebsiella pneumoniae ST258 - KPC-2+NDM-5; ZEU002 (79.3%) - Klebsiella pneumoniae ST392 - KPC-2; ZBF003 (100.0%) - Klebsiella pneumoniae ST5994 - NDM-5
C03; Representative: pM25992_249; IncFIB(Mar)/IncHI1B	PQ247031.1	PQ247031.1	GenBank	IncFIB(Mar)/IncHI1B	NDM-5	258482	46.67	IncFIB(Mar)/IncHI1B	NDM-5	ND	ZCC003 (100.0%) - Klebsiella pneumoniae ST273 - NDM-5; ZCG001 (99.9%) - Klebsiella aerogenes ST695 - NDM-5; ZBK001 (99.0%) - Klebsiella pneumoniae ST307 - NDM-5; ZBB003 (98.6%) - Klebsiella pneumoniae ST11 - NDM-5; ZBB001 (94.3%) - Klebsiella pneumoniae ST11 - NDM-5; ZCZ001 (91.2%) - Klebsiella pneumoniae ST258 - KPC-2+NDM-5; ZEU002 (79.3%) - Klebsiella pneumoniae ST392 - KPC-2; ZBF003 (100.0%) - Klebsiella pneumoniae ST5994 - NDM-5
C03; Representative: pM25992_249; IncFIB(Mar)/IncHI1B	PQ247032.1	PQ247032.1	GenBank	IncFIB(Mar)/IncHI1B	NDM-5	252810	46.72	IncFIB(Mar)/IncHI1B	NDM-5	ND	ZCC003 (100.0%) - Klebsiella pneumoniae ST273 - NDM-5; ZCG001 (99.9%) - Klebsiella aerogenes ST695 - NDM-5; ZBK001 (99.0%) - Klebsiella pneumoniae ST307 - NDM-5; ZBB003 (98.6%) - Klebsiella pneumoniae ST11 - NDM-5; ZBB001 (94.3%) - Klebsiella pneumoniae ST11 - NDM-5; ZCZ001 (91.2%) - Klebsiella pneumoniae ST258 - KPC-2+NDM-5; ZEU002 (79.3%) - Klebsiella pneumoniae ST392 - KPC-2; ZBF003 (100.0%) - Klebsiella pneumoniae ST5994 - NDM-5
C04; Representative: pCBO001_150; IncC	pCBO001_150	ND	This study	IncC	OXA-517-like	149728	51.33	IncC	OXA-517-like	ND	ZBW003 (99.8%) - Klebsiella pneumoniae ST258 - OXA-163; ZCY001 (86.1%) - Klebsiella pneumoniae ST5995 - OXA-163; HCU001 (80.7%) - Proteus mirabilis - - NDM-1; ZBB002 (72.2%) - Klebsiella pneumoniae ST525 - NDM-1; GUT001 (71.1%) - Klebsiella pneumoniae ST2632 - NDM-1
C04; Representative: pCBO001_150; IncC	pM27284_154	CP166604.1	GenBank	IncC	OXA-517-like	154458	52.45	IncC	NDM-1	ND	ZBW003 (99.8%) - Klebsiella pneumoniae ST258 - OXA-163; ZCY001 (86.1%) - Klebsiella pneumoniae ST5995 - OXA-163; HCU001 (80.7%) - Proteus mirabilis - - NDM-1; ZBB002 (72.2%) - Klebsiella pneumoniae ST525 - NDM-1; GUT001 (71.1%) - Klebsiella pneumoniae ST2632 - NDM-1
C04; Representative: pCBO001_150; IncC	pHCU002_151	ND	This study	IncC	OXA-517-like	150789	51.55	IncC	NDM-1	ND	ZBW003 (99.8%) - Klebsiella pneumoniae ST258 - OXA-163; ZCY001 (86.1%) - Klebsiella pneumoniae ST5995 - OXA-163; HCU001 (80.7%) - Proteus mirabilis - - NDM-1; ZBB002 (72.2%) - Klebsiella pneumoniae ST525 - NDM-1; GUT001 (71.1%) - Klebsiella pneumoniae ST2632 - NDM-1
C04; Representative: pCBO001_150; IncC	pM17277_139	MH995507.1	GenBank	IncC	OXA-517-like	138998	51.88	IncC	ND	ND	ZBW003 (99.8%) - Klebsiella pneumoniae ST258 - OXA-163; ZCY001 (86.1%) - Klebsiella pneumoniae ST5995 - OXA-163; HCU001 (80.7%) - Proteus mirabilis - - NDM-1; ZBB002 (72.2%) - Klebsiella pneumoniae ST525 - NDM-1; GUT001 (71.1%) - Klebsiella pneumoniae ST2632 - NDM-1
C04; Representative: pCBO001_150; IncC	pZCA001_134	ND	This study	IncC	OXA-517-like	134201	51.29	IncC	OXA-163	ND	ZBW003 (99.8%) - Klebsiella pneumoniae ST258 - OXA-163; ZCY001 (86.1%) - Klebsiella pneumoniae ST5995 - OXA-163; HCU001 (80.7%) - Proteus mirabilis - - NDM-1; ZBB002 (72.2%) - Klebsiella pneumoniae ST525 - NDM-1; GUT001 (71.1%) - Klebsiella pneumoniae ST2632 - NDM-1
C04; Representative: pCBO001_150; IncC	pZCU001_132	ND	This study	IncC	OXA-517-like	131526	50.89	IncC	OXA-163	ND	ZBW003 (99.8%) - Klebsiella pneumoniae ST258 - OXA-163; ZCY001 (86.1%) - Klebsiella pneumoniae ST5995 - OXA-163; HCU001 (80.7%) - Proteus mirabilis - - NDM-1; ZBB002 (72.2%) - Klebsiella pneumoniae ST525 - NDM-1; GUT001 (71.1%) - Klebsiella pneumoniae ST2632 - NDM-1
C04; Representative: pCBO001_150; IncC	pZCV001_167	ND	This study	IncC	OXA-517-like	167061	52.31	IncC	KPC-3	ND	ZBW003 (99.8%) - Klebsiella pneumoniae ST258 - OXA-163; ZCY001 (86.1%) - Klebsiella pneumoniae ST5995 - OXA-163; HCU001 (80.7%) - Proteus mirabilis - - NDM-1; ZBB002 (72.2%) - Klebsiella pneumoniae ST525 - NDM-1; GUT001 (71.1%) - Klebsiella pneumoniae ST2632 - NDM-1
C05; Representative: PQ241463.1; IncFII	pCOS001_98	ND	This study	IncFII	ND	97647	52.08	IncFII	NDM-5	ND	HCE001 (100.0%) - Klebsiella pneumoniae ST258 - NDM-5; ZAT001 (100.0%) - Klebsiella pneumoniae ST258 - NDM-5; ZAT002 (100.0%) - Klebsiella pneumoniae ST258 - NDM-5; ZAU001 (100.0%) - Klebsiella pneumoniae ST258 - NDM-5; FAV001 (99.9%) - Klebsiella pneumoniae ST258 - NDM-5; ZCC001 (99.9%) - Klebsiella pneumoniae ST11 - NDM-5; PAD001 (99.9%) - Klebsiella pneumoniae ST11 - NDM-5; HCF002 (99.8%) - Klebsiella pneumoniae ST11 - NDM-5; ZBE002 (99.8%) - Klebsiella pneumoniae ST258 - NDM-5; ZBE001 (99.8%) - Klebsiella pneumoniae ST11 - NDM-5; ZDD001 (99.6%) - Klebsiella pneumoniae ST11 - NDM-5; HSP001 (99.5%) - Klebsiella pneumoniae ST11 - NDM-5; ZBE002 (99.4%) - Klebsiella pneumoniae ST258 - NDM-5; ZAT003 (96.0%) - Klebsiella pneumoniae ST258 - NDM-5; ZBN002 (90.6%) - Klebsiella pneumoniae ST11 - NDM-5; ZBE001 (87.0%) - Klebsiella pneumoniae ST11 - NDM-5; ZCC002 (100.0%) - Klebsiella pneumoniae ST258 - NDM-5
C05; Representative: PQ241463.1; IncFII	PQ241462.1	PQ241462.1	GenBank	IncFII	ND	104782	52.22	IncFII	NDM-5	ND	HCE001 (100.0%) - Klebsiella pneumoniae ST258 - NDM-5; ZAT001 (100.0%) - Klebsiella pneumoniae ST258 - NDM-5; ZAT002 (100.0%) - Klebsiella pneumoniae ST258 - NDM-5; ZAU001 (100.0%) - Klebsiella pneumoniae ST258 - NDM-5; FAV001 (99.9%) - Klebsiella pneumoniae ST258 - NDM-5; ZCC001 (99.9%) - Klebsiella pneumoniae ST11 - NDM-5; PAD001 (99.9%) - Klebsiella pneumoniae ST11 - NDM-5; HCF002 (99.8%) - Klebsiella pneumoniae ST11 - NDM-5; ZBE002 (99.8%) - Klebsiella pneumoniae ST258 - NDM-5; ZBE001 (99.8%) - Klebsiella pneumoniae ST11 - NDM-5; ZDD001 (99.6%) - Klebsiella pneumoniae ST11 - NDM-5; HSP001 (99.5%) - Klebsiella pneumoniae ST11 - NDM-5; ZBE002 (99.4%) - Klebsiella pneumoniae ST258 - NDM-5; ZAT003 (96.0%) - Klebsiella pneumoniae ST258 - NDM-5; ZBN002 (90.6%) - Klebsiella pneumoniae ST11 - NDM-5; ZBE001 (87.0%) - Klebsiella pneumoniae ST11 - NDM-5; ZCC002 (100.0%) - Klebsiella pneumoniae ST258 - NDM-5
C05; Representative: PQ241463.1; IncFII	PQ241463.1	PQ241463.1	GenBank	IncFII	ND	97651	52.08	IncFII	NDM-5	ND	HCE001 (100.0%) - Klebsiella pneumoniae ST258 - NDM-5; ZAT001 (100.0%) - Klebsiella pneumoniae ST258 - NDM-5; ZAT002 (100.0%) - Klebsiella pneumoniae ST258 - NDM-5; ZAU001 (100.0%) - Klebsiella pneumoniae ST258 - NDM-5; FAV001 (99.9%) - Klebsiella pneumoniae ST258 - NDM-5; ZCC001 (99.9%) - Klebsiella pneumoniae ST11 - NDM-5; PAD001 (99.9%) - Klebsiella pneumoniae ST11 - NDM-5; HCF002 (99.8%) - Klebsiella pneumoniae ST11 - NDM-5; ZBE002 (99.8%) - Klebsiella pneumoniae ST258 - NDM-5; ZBE001 (99.8%) - Klebsiella pneumoniae ST11 - NDM-5; ZDD001 (99.6%) - Klebsiella pneumoniae ST11 - NDM-5; HSP001 (99.5%) - Klebsiella pneumoniae ST11 - NDM-5; ZBE002 (99.4%) - Klebsiella pneumoniae ST258 - NDM-5; ZAT003 (96.0%) - Klebsiella pneumoniae ST258 - NDM-5; ZBN002 (90.6%) - Klebsiella pneumoniae ST11 - NDM-5; ZBE001 (87.0%) - Klebsiella pneumoniae ST11 - NDM-5; ZCC002 (100.0%) - Klebsiella pneumoniae ST258 - NDM-5
C06; Representative: pWW19C-KPC2; IncP6-like	pWW14A-KPC2	CP080103.1	GenBank	IncP6-like	KPC-2	40407	57.86	IncP6-like	KPC-2	ND	ND
C06; Representative: pWW19C-KPC2; IncP6-like	pWW19C-KPC2	CP080110.1	GenBank	IncP6-like	KPC-2	34721	52.93	IncP6-like	KPC-2	ND	ND
S01; Representative: pPAD003_22; ColRNAI	pPAD003_22	ND	This study	ColRNAI	KPC-2	21651	54.25	ColRNAI	KPC-2	ND	HVB004 (83.4%) - Klebsiella pneumoniae ST14 - KPC-3; ZCE002 (79.7%) - Klebsiella pneumoniae ST11 - KPC-3; JAF001 (76.6%) - Klebsiella pneumoniae ST258 - KPC-2; ZCS001 (76.6%) - Klebsiella pneumoniae ST258 - KPC-2; ZCZ001 (74.6%) - Klebsiella pneumoniae ST258 - KPC-2+NDM-5; FAV001 (70.5%) - Klebsiella pneumoniae ST258 - NDM-5; ZCC002 (70.5%) - Klebsiella pneumoniae ST258 - NDM-5; ZBE002 (70.2%) - Klebsiella pneumoniae ST258 - NDM-5
S03; Representative: pM25992_107; IncFIB(pQil)/IncFII	pM25992_107	CP166597.1	GenBank	IncFIB(pQil)/IncFII	KPC-2	106787	53.79	IncFIB(pQil)/IncFII	KPC-2	ND	ND
S04; Representative: pVLP001_339; IncHI1A/IncHI1B	pVLP001_339	ND	This study	IncHI1A/IncHI1B	OXA-439	338985	49.42	IncHI1A/IncHI1B	OXA-439	ND	ND
S05; Representative: pPA2047_44; ND	pPA2047_44	MN082782.1	GenBank	ND	ND	43660	60.57	ND	ND	ND	ND
S06; Representative: pHdC_pae; ND	pHdC_pae	OL780449.1	GenBank	ND	ND	42750	59.11	ND	ND	ND	ND
