sample	representative_id	representative_name	cluster_id	representative_length_bp	filtered_hsp_count	raw_hsp_bp	merged_covered_bp	coverage_percent	weighted_pident	max_pident	best_bitscore	best_evalue	merged_interval_count	assigned_70pct
ATB_JP2001.contigs	SEQ__pWW19C-KPC2_CP080110.1__00001	pWW19C-KPC2	C05	34721	5	11111	11032	31.773278	99.379009	100.000000	9363.000000	0.0	4	False
ATB_JP2001.contigs	SEQ__PQ241463.1__00001	PQ241463.1	C06	97651	13	7728	6833	6.997368	99.818838	100.000000	3121.000000	0.0	5	False
ATB_JP2001.contigs	SEQ__PAD003_KPC_2__00001	pPAD003_22	S01	21651	9	11059	10826	50.002309	99.665329	100.000000	8977.000000	0.0	6	False
ATB_JP2001.contigs	SEQ__CP166597.1_pM25992_10_IncFIB_pQil_IncFII_K_blaKPC-2___00001	pM25992_107	S03	106787	15	29991	29776	27.883544	97.649462	100.000000	22519.000000	0.0	13	False
ATB_JP2001.contigs	SEQ__VLP001_OXA_439__00001	pVLP001_339	S04	338985	34	31943	30085	8.875024	98.581862	100.000000	7188.000000	0.0	23	False
ATB_JP2001.contigs	SEQ__MN082782.1_pPA2047__00001	pPA2047_44	S05	43660	2	3369	3369	7.716445	99.970311	100.000000	3823.000000	0.0	2	False
ATB_JP2001.contigs	SEQ__pHdC_pae_OL780449.1__00001	pHdC_pae	S06	42750	7	7001	6844	16.009357	99.428703	100.000000	3807.000000	0.0	4	False
FAV001.contigs	SEQ__ZDA002_KPC_2__00001	pZDA002_73	C01	73455	23	19174	17953	24.440814	99.661127	100.000000	6545.000000	0.0	12	False
FAV001.contigs	SEQ__ZCU001_KPC_2__00001	pZCU001_77	C02	76609	5	7625	7399	9.658134	98.963990	100.000000	5011.000000	0.0	3	False
FAV001.contigs	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	C03	249062	27	31588	29848	11.984165	99.889219	100.000000	10360.000000	0.0	8	False
FAV001.contigs	SEQ__CBO001_OXA_48L__00001	pCBO001_150	C04	149728	9	18005	17422	11.635766	99.766753	100.000000	17450.000000	0.0	2	False
FAV001.contigs	SEQ__pWW19C-KPC2_CP080110.1__00001	pWW19C-KPC2	C05	34721	6	5992	5837	16.811152	97.830601	100.000000	4697.000000	0.0	4	False
FAV001.contigs	SEQ__PQ241463.1__00001	PQ241463.1	C06	97651	17	99317	97602	99.949821	99.942552	100.000000	47707.000000	0.0	3	True
FAV001.contigs	SEQ__PAD003_KPC_2__00001	pPAD003_22	S01	21651	9	15717	15273	70.541776	99.459326	100.000000	14958.000000	0.0	2	True
FAV001.contigs	SEQ__CP166597.1_pM25992_10_IncFIB_pQil_IncFII_K_blaKPC-2___00001	pM25992_107	S03	106787	20	31956	29412	27.542678	99.249055	100.000000	30166.000000	0.0	7	False
FAV001.contigs	SEQ__VLP001_OXA_439__00001	pVLP001_339	S04	338985	42	37106	34673	10.228476	99.011008	100.000000	7685.000000	0.0	24	False
FAV001.contigs	SEQ__MN082782.1_pPA2047__00001	pPA2047_44	S05	43660	1	1284	1284	2.940907	97.118000	97.118000	2167.000000	0.0	1	False
FAV001.contigs	SEQ__pHdC_pae_OL780449.1__00001	pHdC_pae	S06	42750	6	6074	5842	13.665497	98.600501	100.000000	6137.000000	0.0	3	False
FAV002.contigs	SEQ__ZDA002_KPC_2__00001	pZDA002_73	C01	73455	17	14418	14256	19.407801	99.084454	100.000000	6508.000000	0.0	12	False
FAV002.contigs	SEQ__ZCU001_KPC_2__00001	pZCU001_77	C02	76609	4	11456	11318	14.773721	99.074977	99.556000	11090.000000	0.0	3	False
FAV002.contigs	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	C03	249062	16	18634	18551	7.448346	99.538519	100.000000	7688.000000	0.0	14	False
FAV002.contigs	SEQ__CBO001_OXA_48L__00001	pCBO001_150	C04	149728	8	8898	8866	5.921404	98.572529	100.000000	6540.000000	0.0	6	False
FAV002.contigs	SEQ__pWW19C-KPC2_CP080110.1__00001	pWW19C-KPC2	C05	34721	5	12248	12158	35.016273	99.412063	99.981000	9681.000000	0.0	4	False
FAV002.contigs	SEQ__PQ241463.1__00001	PQ241463.1	C06	97651	7	9107	9030	9.247217	99.889998	100.000000	7134.000000	0.0	4	False
FAV002.contigs	SEQ__PAD003_KPC_2__00001	pPAD003_22	S01	21651	5	12378	12349	57.036626	99.992069	100.000000	18124.000000	0.0	3	False
FAV002.contigs	SEQ__CP166597.1_pM25992_10_IncFIB_pQil_IncFII_K_blaKPC-2___00001	pM25992_107	S03	106787	8	6249	6051	5.666420	99.231889	100.000000	3823.000000	0.0	4	False
FAV002.contigs	SEQ__VLP001_OXA_439__00001	pVLP001_339	S04	338985	28	41284	40977	12.088145	99.338609	100.000000	11274.000000	0.0	23	False
FAV002.contigs	SEQ__MN082782.1_pPA2047__00001	pPA2047_44	S05	43660	2	3355	3355	7.684379	98.926805	100.000000	3823.000000	0.0	2	False
FAV002.contigs	SEQ__pHdC_pae_OL780449.1__00001	pHdC_pae	S06	42750	5	7366	7366	17.230409	99.945721	100.000000	6977.000000	0.0	5	False
GUT001.contigs	SEQ__ZDA002_KPC_2__00001	pZDA002_73	C01	73455	18	13921	13268	18.062760	98.563214	100.000000	3742.000000	0.0	12	False
GUT001.contigs	SEQ__ZCU001_KPC_2__00001	pZCU001_77	C02	76609	4	7121	6484	8.463758	99.480192	100.000000	7938.000000	0.0	2	False
GUT001.contigs	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	C03	249062	32	34568	30753	12.347528	99.132103	100.000000	8360.000000	0.0	18	False
GUT001.contigs	SEQ__CBO001_OXA_48L__00001	pCBO001_150	C04	149728	16	107057	106386	71.052842	98.743669	100.000000	45901.000000	0.0	12	True
GUT001.contigs	SEQ__pWW19C-KPC2_CP080110.1__00001	pWW19C-KPC2	C05	34721	3	1843	1206	3.473402	97.721190	98.978000	1227.000000	0.0	1	False
GUT001.contigs	SEQ__PQ241463.1__00001	PQ241463.1	C06	97651	12	10588	10368	10.617403	99.726138	100.000000	5768.000000	0.0	10	False
GUT001.contigs	SEQ__PAD003_KPC_2__00001	pPAD003_22	S01	21651	1	820	820	3.787354	100.000000	100.000000	1515.000000	0.0	1	False
GUT001.contigs	SEQ__CP166597.1_pM25992_10_IncFIB_pQil_IncFII_K_blaKPC-2___00001	pM25992_107	S03	106787	7	2912	2560	2.397296	99.759690	100.000000	1515.000000	0.0	4	False
GUT001.contigs	SEQ__VLP001_OXA_439__00001	pVLP001_339	S04	338985	56	36633	32373	9.549980	98.984561	100.000000	2948.000000	0.0	31	False
GUT001.contigs	SEQ__MN082782.1_pPA2047__00001	pPA2047_44	S05	43660	3	1834	1197	2.741640	98.146094	100.000000	1249.000000	0.0	1	False
GUT001.contigs	SEQ__pHdC_pae_OL780449.1__00001	pHdC_pae	S06	42750	1	1354	1354	3.167251	99.926000	99.926000	2495.000000	0.0	1	False
HCE001.contigs	SEQ__ZDA002_KPC_2__00001	pZDA002_73	C01	73455	19	18887	18209	24.789327	99.539454	100.000000	9040.000000	0.0	13	False
HCE001.contigs	SEQ__ZCU001_KPC_2__00001	pZCU001_77	C02	76609	6	8537	8097	10.569254	98.488965	100.000000	5011.000000	0.0	2	False
HCE001.contigs	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	C03	249062	22	30086	28931	11.615983	99.857099	100.000000	12408.000000	0.0	9	False
HCE001.contigs	SEQ__CBO001_OXA_48L__00001	pCBO001_150	C04	149728	5	17652	17422	11.635766	99.773416	100.000000	26376.000000	0.0	2	False
HCE001.contigs	SEQ__pWW19C-KPC2_CP080110.1__00001	pWW19C-KPC2	C05	34721	6	6128	5838	16.814032	97.862387	100.000000	4697.000000	0.0	4	False
HCE001.contigs	SEQ__PQ241463.1__00001	PQ241463.1	C06	97651	16	99021	97612	99.960062	99.947426	100.000000	47709.000000	0.0	2	True
HCE001.contigs	SEQ__PAD003_KPC_2__00001	pPAD003_22	S01	21651	8	15447	15148	69.964436	99.456530	100.000000	14958.000000	0.0	3	False
HCE001.contigs	SEQ__CP166597.1_pM25992_10_IncFIB_pQil_IncFII_K_blaKPC-2___00001	pM25992_107	S03	106787	16	30585	28759	26.931181	99.405012	100.000000	30167.000000	0.0	6	False
HCE001.contigs	SEQ__VLP001_OXA_439__00001	pVLP001_339	S04	338985	37	35941	34673	10.228476	99.067985	100.000000	7685.000000	0.0	24	False
HCE001.contigs	SEQ__MN082782.1_pPA2047__00001	pPA2047_44	S05	43660	1	1284	1284	2.940907	97.118000	97.118000	2167.000000	0.0	1	False
HCE001.contigs	SEQ__pHdC_pae_OL780449.1__00001	pHdC_pae	S06	42750	5	6233	5941	13.897076	98.636403	100.000000	6820.000000	0.0	2	False
HCF002.contigs	SEQ__ZDA002_KPC_2__00001	pZDA002_73	C01	73455	21	22634	22108	30.097339	99.151742	100.000000	5419.000000	0.0	15	False
HCF002.contigs	SEQ__ZCU001_KPC_2__00001	pZCU001_77	C02	76609	2	5266	5189	6.773356	99.791364	100.000000	6658.000000	0.0	1	False
HCF002.contigs	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	C03	249062	22	33683	32074	12.877918	99.661592	100.000000	11003.000000	0.0	10	False
HCF002.contigs	SEQ__CBO001_OXA_48L__00001	pCBO001_150	C04	149728	7	6361	6361	4.248370	99.591423	100.000000	4037.000000	0.0	6	False
HCF002.contigs	SEQ__pWW19C-KPC2_CP080110.1__00001	pWW19C-KPC2	C05	34721	2	2807	2807	8.084445	99.180733	99.722000	3738.000000	0.0	2	False
HCF002.contigs	SEQ__PQ241463.1__00001	PQ241463.1	C06	97651	12	98481	97490	99.835127	99.949293	100.000000	108900.000000	0.0	3	True
HCF002.contigs	SEQ__PAD003_KPC_2__00001	pPAD003_22	S01	21651	3	4384	4384	20.248487	99.954404	100.000000	4137.000000	0.0	2	False
HCF002.contigs	SEQ__CP166597.1_pM25992_10_IncFIB_pQil_IncFII_K_blaKPC-2___00001	pM25992_107	S03	106787	13	19111	18411	17.240863	98.105891	100.000000	6878.000000	0.0	10	False
HCF002.contigs	SEQ__VLP001_OXA_439__00001	pVLP001_339	S04	338985	25	28218	28127	8.297417	98.961639	100.000000	7131.000000	0.0	22	False
HCF002.contigs	SEQ__MN082782.1_pPA2047__00001	pPA2047_44	S05	43660	0	0	0	0.000000	0.000000	0.000000	0.000000		0	False
HCF002.contigs	SEQ__pHdC_pae_OL780449.1__00001	pHdC_pae	S06	42750	4	5365	5356	12.528655	98.881478	99.955000	4143.000000	0.0	2	False
HCM001.contigs	SEQ__ZDA002_KPC_2__00001	pZDA002_73	C01	73455	16	17298	17204	23.421142	99.202235	100.000000	5419.000000	0.0	12	False
HCM001.contigs	SEQ__ZCU001_KPC_2__00001	pZCU001_77	C02	76609	11	75960	74908	97.779634	99.939395	100.000000	86435.000000	0.0	3	True
HCM001.contigs	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	C03	249062	16	21454	21346	8.570557	99.720427	100.000000	7513.000000	0.0	12	False
HCM001.contigs	SEQ__CBO001_OXA_48L__00001	pCBO001_150	C04	149728	11	9550	9387	6.269368	98.764327	100.000000	4695.000000	0.0	7	False
HCM001.contigs	SEQ__pWW19C-KPC2_CP080110.1__00001	pWW19C-KPC2	C05	34721	5	15453	15337	44.172115	99.941610	100.000000	11684.000000	0.0	3	False
HCM001.contigs	SEQ__PQ241463.1__00001	PQ241463.1	C06	97651	8	5804	5788	5.927231	99.741598	100.000000	1528.000000	0.0	5	False
HCM001.contigs	SEQ__PAD003_KPC_2__00001	pPAD003_22	S01	21651	8	12161	12074	55.766477	99.695727	100.000000	8916.000000	0.0	6	False
HCM001.contigs	SEQ__CP166597.1_pM25992_10_IncFIB_pQil_IncFII_K_blaKPC-2___00001	pM25992_107	S03	106787	18	34560	34098	31.930853	97.942891	100.000000	22524.000000	0.0	13	False
HCM001.contigs	SEQ__VLP001_OXA_439__00001	pVLP001_339	S04	338985	31	30828	30413	8.971783	98.796643	100.000000	4032.000000	0.0	26	False
HCM001.contigs	SEQ__MN082782.1_pPA2047__00001	pPA2047_44	S05	43660	2	3252	3252	7.448465	99.938574	100.000000	3823.000000	0.0	2	False
HCM001.contigs	SEQ__pHdC_pae_OL780449.1__00001	pHdC_pae	S06	42750	7	7655	7567	17.700585	99.529773	100.000000	4783.000000	0.0	4	False
HCU001.contigs	SEQ__ZDA002_KPC_2__00001	pZDA002_73	C01	73455	15	13976	13738	18.702607	99.191407	100.000000	6034.000000	0.0	8	False
HCU001.contigs	SEQ__ZCU001_KPC_2__00001	pZCU001_77	C02	76609	4	7502	7424	9.690767	99.640309	99.918000	6708.000000	0.0	3	False
HCU001.contigs	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	C03	249062	17	19047	18373	7.376878	99.758515	100.000000	6767.000000	0.0	12	False
HCU001.contigs	SEQ__CBO001_OXA_48L__00001	pCBO001_150	C04	149728	16	120969	120759	80.652249	98.779938	100.000000	74164.000000	0.0	9	True
HCU001.contigs	SEQ__pWW19C-KPC2_CP080110.1__00001	pWW19C-KPC2	C05	34721	4	4586	4508	12.983497	99.193155	99.861000	4780.000000	0.0	3	False
HCU001.contigs	SEQ__PQ241463.1__00001	PQ241463.1	C06	97651	9	12758	12175	12.467870	99.811864	100.000000	7411.000000	0.0	6	False
HCU001.contigs	SEQ__PAD003_KPC_2__00001	pPAD003_22	S01	21651	5	6132	5979	27.615353	99.771754	100.000000	6469.000000	0.0	3	False
HCU001.contigs	SEQ__CP166597.1_pM25992_10_IncFIB_pQil_IncFII_K_blaKPC-2___00001	pM25992_107	S03	106787	5	4000	3922	3.672732	99.925018	100.000000	2126.000000	0.0	2	False
HCU001.contigs	SEQ__VLP001_OXA_439__00001	pVLP001_339	S04	338985	16	11314	11314	3.337611	99.734793	100.000000	3306.000000	0.0	16	False
HCU001.contigs	SEQ__MN082782.1_pPA2047__00001	pPA2047_44	S05	43660	0	0	0	0.000000	0.000000	0.000000	0.000000		0	False
HCU001.contigs	SEQ__pHdC_pae_OL780449.1__00001	pHdC_pae	S06	42750	5	6016	5936	13.885380	99.850257	100.000000	6475.000000	0.0	3	False
HMI-004.contigs	SEQ__ZDA002_KPC_2__00001	pZDA002_73	C01	73455	20	18218	15199	20.691580	99.582864	100.000000	5409.000000	0.0	9	False
HMI-004.contigs	SEQ__ZCU001_KPC_2__00001	pZCU001_77	C02	76609	4	7910	7818	10.205067	99.241580	100.000000	6050.000000	0.0	3	False
HMI-004.contigs	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	C03	249062	21	25007	20015	8.036152	99.884071	100.000000	6205.000000	0.0	9	False
HMI-004.contigs	SEQ__CBO001_OXA_48L__00001	pCBO001_150	C04	149728	12	9467	7822	5.224140	99.250019	100.000000	3626.000000	0.0	7	False
HMI-004.contigs	SEQ__pWW19C-KPC2_CP080110.1__00001	pWW19C-KPC2	C05	34721	3	3922	3922	11.295758	98.521078	99.722000	3620.000000	0.0	3	False
HMI-004.contigs	SEQ__PQ241463.1__00001	PQ241463.1	C06	97651	12	11731	8497	8.701396	99.735705	100.000000	6205.000000	0.0	6	False
HMI-004.contigs	SEQ__PAD003_KPC_2__00001	pPAD003_22	S01	21651	5	5268	4411	20.373193	99.923978	100.000000	3725.000000	0.0	3	False
HMI-004.contigs	SEQ__CP166597.1_pM25992_10_IncFIB_pQil_IncFII_K_blaKPC-2___00001	pM25992_107	S03	106787	7	8364	7068	6.618783	99.736970	100.000000	5409.000000	0.0	2	False
HMI-004.contigs	SEQ__VLP001_OXA_439__00001	pVLP001_339	S04	338985	45	76266	71540	21.104179	98.611437	100.000000	28989.000000	0.0	28	False
HMI-004.contigs	SEQ__MN082782.1_pPA2047__00001	pPA2047_44	S05	43660	1	1182	1182	2.707284	97.039000	97.039000	1989.000000	0.0	1	False
HMI-004.contigs	SEQ__pHdC_pae_OL780449.1__00001	pHdC_pae	S06	42750	7	6908	6745	15.777778	99.174849	100.000000	3731.000000	0.0	3	False
HMI002.contigs	SEQ__ZDA002_KPC_2__00001	pZDA002_73	C01	73455	21	16755	16427	22.363352	99.307656	100.000000	4012.000000	0.0	13	False
HMI002.contigs	SEQ__ZCU001_KPC_2__00001	pZCU001_77	C02	76609	15	71226	70152	91.571486	99.766718	100.000000	60826.000000	0.0	4	True
HMI002.contigs	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	C03	249062	22	22797	21397	8.591034	99.736866	100.000000	7688.000000	0.0	11	False
HMI002.contigs	SEQ__CBO001_OXA_48L__00001	pCBO001_150	C04	149728	12	9486	9322	6.225956	98.998457	100.000000	4043.000000	0.0	7	False
HMI002.contigs	SEQ__pWW19C-KPC2_CP080110.1__00001	pWW19C-KPC2	C05	34721	8	12260	11951	34.420092	99.355735	99.981000	9681.000000	0.0	4	False
HMI002.contigs	SEQ__PQ241463.1__00001	PQ241463.1	C06	97651	9	10072	9917	10.155554	99.761523	100.000000	7134.000000	0.0	5	False
HMI002.contigs	SEQ__PAD003_KPC_2__00001	pPAD003_22	S01	21651	8	12507	12342	57.004295	99.991919	100.000000	12536.000000	0.0	3	False
HMI002.contigs	SEQ__CP166597.1_pM25992_10_IncFIB_pQil_IncFII_K_blaKPC-2___00001	pM25992_107	S03	106787	8	6996	6913	6.473634	99.199581	100.000000	3823.000000	0.0	6	False
HMI002.contigs	SEQ__VLP001_OXA_439__00001	pVLP001_339	S04	338985	50	59312	56897	16.784518	99.295368	100.000000	13245.000000	0.0	29	False
HMI002.contigs	SEQ__MN082782.1_pPA2047__00001	pPA2047_44	S05	43660	3	3370	3293	7.542373	98.931825	100.000000	3823.000000	0.0	2	False
HMI002.contigs	SEQ__pHdC_pae_OL780449.1__00001	pHdC_pae	S06	42750	10	7902	7589	17.752047	99.924063	100.000000	4148.000000	0.0	5	False
HMI003.contigs	SEQ__ZDA002_KPC_2__00001	pZDA002_73	C01	73455	17	19496	19423	26.442039	98.209936	100.000000	6715.000000	0.0	13	False
HMI003.contigs	SEQ__ZCU001_KPC_2__00001	pZCU001_77	C02	76609	12	68285	67260	87.796473	99.734785	100.000000	60826.000000	0.0	5	True
HMI003.contigs	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	C03	249062	17	20362	20289	8.146164	98.963742	100.000000	7688.000000	0.0	16	False
HMI003.contigs	SEQ__CBO001_OXA_48L__00001	pCBO001_150	C04	149728	8	8285	7919	5.288924	98.310190	100.000000	6540.000000	0.0	6	False
HMI003.contigs	SEQ__pWW19C-KPC2_CP080110.1__00001	pWW19C-KPC2	C05	34721	6	12613	12189	35.105556	99.254711	99.981000	9681.000000	0.0	4	False
HMI003.contigs	SEQ__PQ241463.1__00001	PQ241463.1	C06	97651	8	9321	9252	9.474557	99.774499	100.000000	7134.000000	0.0	7	False
HMI003.contigs	SEQ__PAD003_KPC_2__00001	pPAD003_22	S01	21651	5	12379	12350	57.041245	99.983987	100.000000	18131.000000	0.0	3	False
HMI003.contigs	SEQ__CP166597.1_pM25992_10_IncFIB_pQil_IncFII_K_blaKPC-2___00001	pM25992_107	S03	106787	10	16430	16380	15.338946	97.334145	100.000000	8250.000000	0.0	8	False
HMI003.contigs	SEQ__VLP001_OXA_439__00001	pVLP001_339	S04	338985	29	33387	31047	9.158812	98.747990	100.000000	13125.000000	0.0	19	False
HMI003.contigs	SEQ__MN082782.1_pPA2047__00001	pPA2047_44	S05	43660	3	3652	3369	7.716445	98.631016	100.000000	3823.000000	0.0	2	False
HMI003.contigs	SEQ__pHdC_pae_OL780449.1__00001	pHdC_pae	S06	42750	4	7150	7150	16.725146	99.944082	100.000000	6979.000000	0.0	4	False
HMQ001.contigs	SEQ__ZDA002_KPC_2__00001	pZDA002_73	C01	73455	21	15054	14502	19.742700	99.468431	100.000000	5419.000000	0.0	11	False
HMQ001.contigs	SEQ__ZCU001_KPC_2__00001	pZCU001_77	C02	76609	3	6743	6540	8.536856	98.813320	98.979000	11045.000000	0.0	2	False
HMQ001.contigs	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	C03	249062	30	22103	20732	8.324032	99.552181	100.000000	5746.000000	0.0	10	False
HMQ001.contigs	SEQ__CBO001_OXA_48L__00001	pCBO001_150	C04	149728	12	9883	9574	6.394262	99.635855	100.000000	5668.000000	0.0	7	False
HMQ001.contigs	SEQ__pWW19C-KPC2_CP080110.1__00001	pWW19C-KPC2	C05	34721	2	2807	2807	8.084445	99.216421	99.722000	3744.000000	0.0	2	False
HMQ001.contigs	SEQ__PQ241463.1__00001	PQ241463.1	C06	97651	19	8750	7697	7.882152	98.891409	100.000000	2514.000000	0.0	7	False
HMQ001.contigs	SEQ__PAD003_KPC_2__00001	pPAD003_22	S01	21651	5	4600	4446	20.534848	99.934535	100.000000	4143.000000	0.0	2	False
HMQ001.contigs	SEQ__CP166597.1_pM25992_10_IncFIB_pQil_IncFII_K_blaKPC-2___00001	pM25992_107	S03	106787	21	34042	33263	31.148923	97.808833	100.000000	22519.000000	0.0	11	False
HMQ001.contigs	SEQ__VLP001_OXA_439__00001	pVLP001_339	S04	338985	40	31858	30739	9.067953	99.218504	100.000000	5657.000000	0.0	26	False
HMQ001.contigs	SEQ__MN082782.1_pPA2047__00001	pPA2047_44	S05	43660	1	3671	3671	8.408154	99.728000	99.728000	6724.000000	0.0	1	False
HMQ001.contigs	SEQ__pHdC_pae_OL780449.1__00001	pHdC_pae	S06	42750	4	5360	5351	12.516959	98.917964	100.000000	4148.000000	0.0	2	False
HSP001.contigs	SEQ__ZDA002_KPC_2__00001	pZDA002_73	C01	73455	21	23219	22693	30.893744	99.112762	100.000000	5419.000000	0.0	15	False
HSP001.contigs	SEQ__ZCU001_KPC_2__00001	pZCU001_77	C02	76609	2	5881	5804	7.576133	99.710684	100.000000	7703.000000	0.0	1	False
HSP001.contigs	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	C03	249062	22	33683	32074	12.877918	99.661592	100.000000	11003.000000	0.0	10	False
HSP001.contigs	SEQ__CBO001_OXA_48L__00001	pCBO001_150	C04	149728	7	6952	6952	4.643086	99.410116	100.000000	5044.000000	0.0	6	False
HSP001.contigs	SEQ__pWW19C-KPC2_CP080110.1__00001	pWW19C-KPC2	C05	34721	2	3392	3392	9.769304	99.115443	99.722000	4780.000000	0.0	2	False
HSP001.contigs	SEQ__PQ241463.1__00001	PQ241463.1	C06	97651	13	98134	97143	99.479780	99.950935	100.000000	56340.000000	0.0	4	True
HSP001.contigs	SEQ__PAD003_KPC_2__00001	pPAD003_22	S01	21651	3	4969	4969	22.950441	99.959549	100.000000	5217.000000	0.0	2	False
HSP001.contigs	SEQ__CP166597.1_pM25992_10_IncFIB_pQil_IncFII_K_blaKPC-2___00001	pM25992_107	S03	106787	13	19111	18411	17.240863	98.105891	100.000000	6878.000000	0.0	10	False
HSP001.contigs	SEQ__VLP001_OXA_439__00001	pVLP001_339	S04	338985	25	28218	28127	8.297417	98.961639	100.000000	7131.000000	0.0	22	False
HSP001.contigs	SEQ__MN082782.1_pPA2047__00001	pPA2047_44	S05	43660	0	0	0	0.000000	0.000000	0.000000	0.000000		0	False
HSP001.contigs	SEQ__pHdC_pae_OL780449.1__00001	pHdC_pae	S06	42750	4	5954	5945	13.906433	98.975296	99.929000	5223.000000	0.0	2	False
HVB003.contigs	SEQ__ZDA002_KPC_2__00001	pZDA002_73	C01	73455	13	12444	12302	16.747669	99.124019	100.000000	6510.000000	0.0	8	False
HVB003.contigs	SEQ__ZCU001_KPC_2__00001	pZCU001_77	C02	76609	11	61992	61436	80.194233	99.727519	100.000000	51893.000000	0.0	6	True
HVB003.contigs	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	C03	249062	12	15587	15510	6.227365	99.570141	100.000000	7688.000000	0.0	11	False
HVB003.contigs	SEQ__CBO001_OXA_48L__00001	pCBO001_150	C04	149728	7	7966	7935	5.299610	98.405721	100.000000	6540.000000	0.0	5	False
HVB003.contigs	SEQ__pWW19C-KPC2_CP080110.1__00001	pWW19C-KPC2	C05	34721	5	8722	8633	24.863915	99.071160	99.868000	4787.000000	0.0	4	False
HVB003.contigs	SEQ__PQ241463.1__00001	PQ241463.1	C06	97651	7	9107	9030	9.247217	99.846058	100.000000	7134.000000	0.0	4	False
HVB003.contigs	SEQ__PAD003_KPC_2__00001	pPAD003_22	S01	21651	4	8857	8827	40.769479	99.932519	100.000000	12214.000000	0.0	3	False
