sample	assigned_group	representative_id	representative_name	coverage_percent	weighted_pident	max_pident	rank_by_coverage
ZAT003.contigs	C06	SEQ__PQ241463.1__00001	PQ241463.1	96.047147	99.982997	100.000000	1
ZAU001.contigs	C06	SEQ__PQ241463.1__00001	PQ241463.1	99.960062	99.947427	100.000000	1
ZBB001.contigs	C03	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	94.293389	99.879483	100.000000	1
ZBB002.contigs	C04	SEQ__CBO001_OXA_48L__00001	pCBO001_150	72.245672	98.771882	100.000000	1
ZBB003.contigs	C03	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	98.592318	99.865855	100.000000	1
ZBE001.contigs	C06	SEQ__PQ241463.1__00001	PQ241463.1	86.984260	99.918073	100.000000	1
ZBE002.contigs	C06	SEQ__PQ241463.1__00001	PQ241463.1	99.835127	99.992822	100.000000	1
ZBE002.contigs	S01	SEQ__PAD003_KPC_2__00001	pPAD003_22	70.167660	99.454011	100.000000	2
ZBE_001_SECOND_NEW_assembly	C06	SEQ__PQ241463.1__00001	PQ241463.1	99.750131	99.992030	100.000000	1
ZBE_002_SECOND_NEW_assembly	C06	SEQ__PQ241463.1__00001	PQ241463.1	99.419361	99.982433	100.000000	1
ZBF001.contigs	C02	SEQ__ZCU001_KPC_2__00001	pZCU001_77	95.029305	99.769458	100.000000	1
ZBF003.contigs	C03	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	100.000000	99.753704	100.000000	1
ZBK001.contigs	C03	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	98.956083	99.830169	100.000000	1
ZBN002.contigs	C06	SEQ__PQ241463.1__00001	PQ241463.1	90.581766	99.941993	100.000000	1
ZBW003.contigs	C04	SEQ__CBO001_OXA_48L__00001	pCBO001_150	99.815666	99.967018	100.000000	1
ZCC001.contigs	C06	SEQ__PQ241463.1__00001	PQ241463.1	99.924220	99.982537	100.000000	1
ZCC002.contigs	C06	SEQ__PQ241463.1__00001	PQ241463.1	100.000000	99.983687	100.000000	1
ZCC002.contigs	S01	SEQ__PAD003_KPC_2__00001	pPAD003_22	70.541776	99.453346	100.000000	2
ZCC003.contigs	C03	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	99.967076	99.717714	100.000000	1
ZCE002.contigs	C01	SEQ__ZDA002_KPC_2__00001	pZDA002_73	91.215030	99.797065	100.000000	1
ZCE002.contigs	S01	SEQ__PAD003_KPC_2__00001	pPAD003_22	79.714563	99.493007	100.000000	2
ZCG001.contigs	C03	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	99.933751	99.852351	100.000000	1
ZCS001.contigs	C01	SEQ__ZDA002_KPC_2__00001	pZDA002_73	97.971547	99.825966	100.000000	1
ZCS001.contigs	S01	SEQ__PAD003_KPC_2__00001	pPAD003_22	76.615399	99.482378	100.000000	2
ZCY001.contigs	C04	SEQ__CBO001_OXA_48L__00001	pCBO001_150	86.068070	99.886584	100.000000	1
ZCZ_001_SECOND_New_assembly	C01	SEQ__ZDA002_KPC_2__00001	pZDA002_73	96.501259	99.902869	100.000000	1
ZCZ_001_SECOND_New_assembly	C03	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	91.192554	99.925483	100.000000	2
ZCZ_001_SECOND_New_assembly	S01	SEQ__PAD003_KPC_2__00001	pPAD003_22	74.615491	99.806289	100.000000	3
ZDD001.contigs	C06	SEQ__PQ241463.1__00001	PQ241463.1	99.592426	99.945338	100.000000	1
ZDL004.contigs	C02	SEQ__ZCU001_KPC_2__00001	pZCU001_77	87.241708	99.817454	100.000000	1
ZET001.contigs	C01	SEQ__ZDA002_KPC_2__00001	pZDA002_73	85.035736	99.725825	100.000000	1
ZEU001.contigs	C02	SEQ__ZCU001_KPC_2__00001	pZCU001_77	87.793862	99.757030	100.000000	1
ZEU002.contigs	C03	SEQ__CP166596.1_pM25992_249_IncFIB_IncHI1B_blaNDM-5__00001	pM25992_249	79.297524	98.012597	100.000000	1
ZEV013.contigs	C02	SEQ__ZCU001_KPC_2__00001	pZCU001_77	97.974128	99.932785	100.000000	1
ZEV015.contigs	C01	SEQ__ZDA002_KPC_2__00001	pZDA002_73	85.871622	99.836625	100.000000	1
ZEV019.contigs	C02	SEQ__ZCU001_KPC_2__00001	pZCU001_77	97.966296	99.934133	100.000000	1
