sample_id	assembly_filename	assembly_group	local_source_relative_path	size_bytes	included_in_repository	notes
HMI002	HMI002.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/HMI002.contigs.fasta	5305602	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
HMI003	HMI003.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/HMI003.contigs.fasta	5754039	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
HMQ001	HMQ001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/HMQ001.contigs.fasta	5893412	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
HSP001	HSP001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/HSP001.contigs.fasta	5677638	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
HVB003	HVB003.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/HVB003.contigs.fasta	5215749	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
HVB004	HVB004.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/HVB004.contigs.fasta	5637405	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
JAF001	JAF001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/JAF001.contigs.fasta	5792485	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
JP2-2	JP2-2.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/JP2-2.contigs.fasta	4832779	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
PAD001	PAD001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/PAD001.contigs.fasta	5679959	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
RSP001	RSP001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/RSP001.contigs.fasta	5756314	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
BAR001	BAR001.contigs.fasta	hybrid_reference_or_closed-plasmid-source assembly excluded from short-read-only projection	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/Referencias_not_use/BAR001.contigs.fasta	5055392	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
CBO001	CBO001.contigs.fasta	hybrid_reference_or_closed-plasmid-source assembly excluded from short-read-only projection	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/Referencias_not_use/CBO001.contigs.fasta	5723158	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
COS001	COS001.contigs.fasta	hybrid_reference_or_closed-plasmid-source assembly excluded from short-read-only projection	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/Referencias_not_use/COS001.contigs.fasta	5048634	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
HCU002	HCU002.contigs.fasta	hybrid_reference_or_closed-plasmid-source assembly excluded from short-read-only projection	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/Referencias_not_use/HCU002.contigs.fasta	5712305	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
PAD003	PAD003.contigs.fasta	hybrid_reference_or_closed-plasmid-source assembly excluded from short-read-only projection	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/Referencias_not_use/PAD003.contigs.fasta	5839162	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ROS002	ROS002.contigs.fasta	hybrid_reference_or_closed-plasmid-source assembly excluded from short-read-only projection	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/Referencias_not_use/ROS002.contigs.fasta	5048099	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
VLP001	VLP001.contigs.fasta	hybrid_reference_or_closed-plasmid-source assembly excluded from short-read-only projection	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/Referencias_not_use/VLP001.contigs.fasta	5491675	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZAC001	ZAC001.contigs.fasta	hybrid_reference_or_closed-plasmid-source assembly excluded from short-read-only projection	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/Referencias_not_use/ZAC001.contigs.fasta	5753514	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZAG001	ZAG001.contigs.fasta	hybrid_reference_or_closed-plasmid-source assembly excluded from short-read-only projection	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/Referencias_not_use/ZAG001.contigs.fasta	5747008	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZCA001	ZCA001.contigs.fasta	hybrid_reference_or_closed-plasmid-source assembly excluded from short-read-only projection	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/Referencias_not_use/ZCA001.contigs.fasta	6006253	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZCU001	ZCU001.contigs.fasta	hybrid_reference_or_closed-plasmid-source assembly excluded from short-read-only projection	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/Referencias_not_use/ZCU001.contigs.fasta	5786200	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZCV001	ZCV001.contigs.fasta	hybrid_reference_or_closed-plasmid-source assembly excluded from short-read-only projection	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/Referencias_not_use/ZCV001.contigs.fasta	5693264	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZDA001	ZDA001.contigs.fasta	hybrid_reference_or_closed-plasmid-source assembly excluded from short-read-only projection	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/Referencias_not_use/ZDA001.contigs.fasta	6074206	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZDA002	ZDA002.contigs.fasta	hybrid_reference_or_closed-plasmid-source assembly excluded from short-read-only projection	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/Referencias_not_use/ZDA002.contigs.fasta	6017609	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZDZ001	ZDZ001.contigs.fasta	hybrid_reference_or_closed-plasmid-source assembly excluded from short-read-only projection	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/Referencias_not_use/ZDZ001.contigs.fasta	5871006	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZEI002	ZEI002.contigs.fasta	hybrid_reference_or_closed-plasmid-source assembly excluded from short-read-only projection	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/Referencias_not_use/ZEI002.contigs.fasta	5661450	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZAN001	ZAN001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZAN001.contigs.fasta	5760946	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZAT001	ZAT001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZAT001.contigs.fasta	5665039	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZAT002	ZAT002.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZAT002.contigs.fasta	5651895	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZAT003	ZAT003.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZAT003.contigs.fasta	5669603	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZAU001	ZAU001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZAU001.contigs.fasta	5690929	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZBB001	ZBB001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZBB001.contigs.fasta	5749213	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZBB002	ZBB002.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZBB002.contigs.fasta	5902826	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZBB003	ZBB003.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZBB003.contigs.fasta	5709301	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZBE001	ZBE001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZBE001.contigs.fasta	5747803	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZBE002	ZBE002.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZBE002.contigs.fasta	5815226	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZBF001	ZBF001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZBF001.contigs.fasta	5571164	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZBF002	ZBF002.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZBF002.contigs.fasta	5025921	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZBF003	ZBF003.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZBF003.contigs.fasta	5583141	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZBK001	ZBK001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZBK001.contigs.fasta	5729247	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZBN002	ZBN002.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZBN002.contigs.fasta	5673466	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZBW003	ZBW003.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZBW003.contigs.fasta	5833669	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZCC001	ZCC001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZCC001.contigs.fasta	5605137	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZCC002	ZCC002.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZCC002.contigs.fasta	5755930	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZCC003	ZCC003.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZCC003.contigs.fasta	5550987	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZCE002	ZCE002.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZCE002.contigs.fasta	5798267	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZCG001	ZCG001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZCG001.contigs.fasta	5685392	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZCH001	ZCH001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZCH001.contigs.fasta	5640077	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZCS001	ZCS001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZCS001.contigs.fasta	5838457	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZCY001	ZCY001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZCY001.contigs.fasta	5735537	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZDD001	ZDD001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZDD001.contigs.fasta	5532583	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZDL004	ZDL004.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZDL004.contigs.fasta	5712747	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZEB001	ZEB001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZEB001.contigs.fasta	5098816	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZEI001	ZEI001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZEI001.contigs.fasta	5611499	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZET001	ZET001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZET001.contigs.fasta	5708801	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZEU001	ZEU001.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZEU001.contigs.fasta	5102766	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZEU002	ZEU002.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZEU002.contigs.fasta	5918975	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZEV013	ZEV013.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZEV013.contigs.fasta	5805059	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZEV015	ZEV015.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZEV015.contigs.fasta	5695137	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
ZEV019	ZEV019.contigs.fasta	short-read assembly used for local projection input	../RECAPTARII/ENSAMBLADOS_RECAPTAR/Listos_para_analisis/ZEV019.contigs.fasta	5781424	no	Inventory only; full assembly FASTA is not included by default because assemblies are large and should be added only after approval.
