isolate	reference	reference_length_bp	cluster_or_singleton_label	representative_yes_no	pident	merged_aligned_bp	reference_coverage_percent	carbapenemase_gene	plasmid_size_class	passed_identity_95	passed_coverage_70	candidate_rank_by_coverage	final_selected_yes_no	reason_selected_or_excluded
ZBB001	pM25992_249	249062	C03	True	99.9	234865	94.3	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZBB002	pCBO001_150	149728	C04	True	98.8	108104	72.2	NDM-1	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZBB003	pM25992_249	249062	C03	True	99.9	245575	98.6	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZBE001	PQ241463.1	97651	C05	True	100.0	97456	99.8	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZBE001	PQ241463.1	97651	C05	True	99.9	84956	87.0	NDM-5	large_ge_70000	True	True	2	no	excluded duplicate lower-coverage row for same isolate/reference/cluster
ZBE002	PQ241463.1	97651	C05	True	100.0	97456	99.8	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZBE002	PQ241463.1	97651	C05	True	100.0	97065	99.4	NDM-5	large_ge_70000	True	True	2	no	excluded duplicate lower-coverage row for same isolate/reference/cluster
ZBE002	pPAD003_22	21651	S01	True	99.5	15199	70.2	NDM-5	small_lt_30000	True	True	3	no	excluded small reference; best >=30000 bp candidate coverage was 99.8 and delta was -29.6
ZBF001	pZCU001_77	76609	C02	True	99.8	72779	95.0	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZBF003	pM25992_249	249062	C03	True	99.8	249062	100.0	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZBK001	pM25992_249	249062	C03	True	99.8	246571	99.0	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZBN002	PQ241463.1	97651	C05	True	99.9	88472	90.6	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZBW003	pCBO001_150	149728	C04	True	100.0	149429	99.8	OXA-163	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZCC001	PQ241463.1	97651	C05	True	100.0	97553	99.9	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZCC002	PQ241463.1	97651	C05	True	100.0	97651	100.0	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZCC002	pPAD003_22	21651	S01	True	99.5	15264	70.5	NDM-5	small_lt_30000	True	True	2	no	excluded small reference; best >=30000 bp candidate coverage was 100.0 and delta was -29.5
ZCC003	pM25992_249	249062	C03	True	99.7	249062	100.0	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZCE002	pZDA002_73	73455	C01	True	99.8	66991	91.2	KPC-3	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZCE002	pPAD003_22	21651	S01	True	99.5	17256	79.7	KPC-3	small_lt_30000	True	True	2	no	excluded small reference; best >=30000 bp candidate coverage was 91.2 and delta was -11.5
ZCG001	pM25992_249	249062	C03	True	99.9	248813	99.9	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZCS001	pZDA002_73	73455	C01	True	99.8	71986	98.0	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZCS001	pPAD003_22	21651	S01	True	99.5	16585	76.6	KPC-2	small_lt_30000	True	True	2	no	excluded small reference; best >=30000 bp candidate coverage was 98.0 and delta was -21.4
ZCY001	pCBO001_150	149728	C04	True	99.9	128916	86.1	OXA-163	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZCZ001	pZDA002_73	73455	C01	True	99.9	70884	96.5	KPC-2+NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZCZ001	pM25992_249	249062	C03	True	99.9	227145	91.2	KPC-2+NDM-5	large_ge_70000	True	True	2	yes	selected valid reference >=30000 bp
ZCZ001	pPAD003_22	21651	S01	True	99.8	16152	74.6	KPC-2+NDM-5	small_lt_30000	True	True	3	no	excluded small reference; best >=30000 bp candidate coverage was 96.5 and delta was -21.9
ZDD001	PQ241463.1	97651	C05	True	99.9	97260	99.6	NDM-5	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZDL004	pZCU001_77	76609	C02	True	99.8	66803	87.2	KPC-3	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZET001	pZDA002_73	73455	C01	True	99.7	62437	85.0	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZEU001	pZCU001_77	76609	C02	True	99.8	67263	87.8	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZEU002	pM25992_249	249062	C03	True	98.0	197506	79.3	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZEV013	pZCU001_77	76609	C02	True	99.9	75077	98.0	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZEV015	pZDA002_73	73455	C01	True	99.8	63098	85.9	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
ZEV019	pZCU001_77	76609	C02	True	99.9	75077	98.0	KPC-2	large_ge_70000	True	True	1	yes	selected valid reference >=30000 bp
