isolate	reference	reference_length_bp	cluster_or_singleton_label	pident	merged_aligned_bp	reference_coverage_percent	carbapenemase_gene	plasmid_size_class	selection_basis
ZAT001	PQ241463.1	97651	C05	99.9	97651	100.0	NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZAT002	PQ241463.1	97651	C05	99.9	97651	100.0	NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZAT003	PQ241463.1	97651	C05	100.0	93745	96.0	NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZAU001	PQ241463.1	97651	C05	99.9	97651	100.0	NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZBB001	pM25992_249	249062	C03	99.9	234865	94.3	NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZBB002	pCBO001_150	149728	C04	98.8	108104	72.2	NDM-1	large_ge_70000	selected valid reference >=30000 bp
ZBB003	pM25992_249	249062	C03	99.9	245575	98.6	NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZBE001	PQ241463.1	97651	C05	100.0	97456	99.8	NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZBE002	PQ241463.1	97651	C05	100.0	97456	99.8	NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZBF001	pZCU001_77	76609	C02	99.8	72779	95.0	KPC-2	large_ge_70000	selected valid reference >=30000 bp
ZBF003	pM25992_249	249062	C03	99.8	249062	100.0	NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZBK001	pM25992_249	249062	C03	99.8	246571	99.0	NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZBN002	PQ241463.1	97651	C05	99.9	88472	90.6	NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZBW003	pCBO001_150	149728	C04	100.0	149429	99.8	OXA-163	large_ge_70000	selected valid reference >=30000 bp
ZCC001	PQ241463.1	97651	C05	100.0	97553	99.9	NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZCC002	PQ241463.1	97651	C05	100.0	97651	100.0	NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZCC003	pM25992_249	249062	C03	99.7	249062	100.0	NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZCE002	pZDA002_73	73455	C01	99.8	66991	91.2	KPC-3	large_ge_70000	selected valid reference >=30000 bp
ZCG001	pM25992_249	249062	C03	99.9	248813	99.9	NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZCS001	pZDA002_73	73455	C01	99.8	71986	98.0	KPC-2	large_ge_70000	selected valid reference >=30000 bp
ZCY001	pCBO001_150	149728	C04	99.9	128916	86.1	OXA-163	large_ge_70000	selected valid reference >=30000 bp
ZCZ001	pZDA002_73	73455	C01	99.9	70884	96.5	KPC-2+NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZCZ001	pM25992_249	249062	C03	99.9	227145	91.2	KPC-2+NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZDD001	PQ241463.1	97651	C05	99.9	97260	99.6	NDM-5	large_ge_70000	selected valid reference >=30000 bp
ZDL004	pZCU001_77	76609	C02	99.8	66803	87.2	KPC-3	large_ge_70000	selected valid reference >=30000 bp
ZET001	pZDA002_73	73455	C01	99.7	62437	85.0	KPC-2	large_ge_70000	selected valid reference >=30000 bp
ZEU001	pZCU001_77	76609	C02	99.8	67263	87.8	KPC-2	large_ge_70000	selected valid reference >=30000 bp
ZEU002	pM25992_249	249062	C03	98.0	197506	79.3	KPC-2	large_ge_70000	selected valid reference >=30000 bp
ZEV013	pZCU001_77	76609	C02	99.9	75077	98.0	KPC-2	large_ge_70000	selected valid reference >=30000 bp
ZEV015	pZDA002_73	73455	C01	99.8	63098	85.9	KPC-2	large_ge_70000	selected valid reference >=30000 bp
ZEV019	pZCU001_77	76609	C02	99.9	75077	98.0	KPC-2	large_ge_70000	selected valid reference >=30000 bp
